T          V        N   RS       MinV       MaxV
__________________________________________________
1355270609 1.802150 001 1.802150 1.802150 1.802150
1355270621 1.801850 002 3.604000 1.801850 1.802150
1355270646 1.801950 003 5.405950 1.801850 1.802150
1355270702 1.802250 002 3.604200 1.801950 1.802250
1355270702 1.802150 003 5.406350 1.801950 1.802250
1355270829 1.802350 001 1.802350 1.802350 1.802350
1355270854 1.802050 002 3.604400 1.802050 1.802350
1355270868 1.802250 003 5.406650 1.802050 1.802350
1355271000 1.802450 001 1.802450 1.802450 1.802450
1355271023 1.802850 002 3.605300 1.802450 1.802850
1355271024 1.802750 003 5.408050 1.802450 1.802850
1355271026 1.802850 004 7.210900 1.802450 1.802850
1355271027 1.802650 005 9.013550 1.802450 1.802850
1355271056 1.802750 006 10.816300 1.802450 1.802850
1355271428 1.802650 001 1.802650 1.802650 1.802650
1355271466 1.802750 002 3.605400 1.802650 1.802750
1355271471 1.802950 003 5.408350 1.802650 1.802950
1355271507 1.802650 003 5.408350 1.802650 1.802950
1355271562 1.802750 002 3.605400 1.802650 1.802750
1355271588 1.802950 002 3.605700 1.802750 1.802950
1355271703 1.802650 001 1.802650 1.802650 1.802650
1355271703 1.802750 002 3.605400 1.802650 1.802750
1355271707 1.802650 003 5.408050 1.802650 1.802750
1355271715 1.802850 004 7.210900 1.802650 1.802850
1355271741 1.803050 005 9.013950 1.802650 1.803050
1355271770 1.802650 003 5.408550 1.802650 1.803050
1355271781 1.802850 003 5.408550 1.802650 1.803050
1355271782 1.802650 004 7.211200 1.802650 1.803050
1355271795 1.802750 005 9.013950 1.802650 1.803050
1355271796 1.802950 006 10.816900 1.802650 1.803050
1355271836 1.802750 005 9.013950 1.802650 1.802950
1355271882 1.802950 002 3.605700 1.802750 1.802950
1355271953 1.802750 001 1.802750 1.802750 1.802750
1355272046 1.802850 001 1.802850 1.802850 1.802850
1355272074 1.802750 002 3.605600 1.802750 1.802850
1355272124 1.802450 002 3.605200 1.802450 1.802750
1355272179 1.802650 002 3.605100 1.802450 1.802650
1355272280 1.802350 001 1.802350 1.802350 1.802350
1355272281 1.802450 002 3.604800 1.802350 1.802450
1355272313 1.802350 003 5.407150 1.802350 1.802450
1355272351 1.802250 002 3.604600 1.802250 1.802350
1355272876 1.802350 001 1.802350 1.802350 1.802350
1355272880 1.802450 002 3.604800 1.802350 1.802450
1355272925 1.802550 003 5.407350 1.802350 1.802550
1355272925 1.802450 004 7.209800 1.802350 1.802550
1355272954 1.802350 003 5.407350 1.802350 1.802550
1355273022 1.802450 001 1.802450 1.802450 1.802450
1355273043 1.802350 002 3.604800 1.802350 1.802450
1355273043 1.802450 003 5.407250 1.802350 1.802450
1355273118 1.802950 001 1.802950 1.802950 1.802950
1355273168 1.803050 002 3.606000 1.802950 1.803050
1355273283 1.802850 001 1.802850 1.802850 1.802850
1355273283 1.803050 002 3.605900 1.802850 1.803050
1355273284 1.803150 003 5.409050 1.802850 1.803150
1355273380 1.803250 001 1.803250 1.803250 1.803250
1355273425 1.803450 002 3.606700 1.803250 1.803450
1355273468 1.803550 002 3.607000 1.803450 1.803550
1355273582 1.803650 001 1.803650 1.803650 1.803650
1355273603 1.803950 002 3.607600 1.803650 1.803950
1355273604 1.803850 003 5.411450 1.803650 1.803950
1355273636 1.803750 004 7.215200 1.803650 1.803950
1355273637 1.803650 005 9.018850 1.803650 1.803950
1355273666 1.803350 003 5.410750 1.803350 1.803750
1355273704 1.802950 002 3.606300 1.802950 1.803350
1355273790 1.802850 001 1.802850 1.802850 1.802850
1355273862 1.802650 001 1.802650 1.802650 1.802650
1355273889 1.802450 002 3.605100 1.802450 1.802650
1355273959 1.802350 001 1.802350 1.802350 1.802350
1355273989 1.802950 002 3.605300 1.802350 1.802950
1355274030 1.802750 002 3.605700 1.802750 1.802950
1355274039 1.803050 003 5.408750 1.802750 1.803050
1355274040 1.803150 004 7.211900 1.802750 1.803150
1355274040 1.803050 005 9.014950 1.802750 1.803150
1355274115 1.802850 001 1.802850 1.802850 1.802850
1355274118 1.802950 002 3.605800 1.802850 1.802950
1355274126 1.802850 003 5.408650 1.802850 1.802950
1355274141 1.802950 004 7.211600 1.802850 1.802950
1355274456 1.802750 001 1.802750 1.802750 1.802750
1355274648 1.802550 001 1.802550 1.802550 1.802550
1355274648 1.802750 002 3.605300 1.802550 1.802750
1355274649 1.802650 003 5.407950 1.802550 1.802750
1355274671 1.802550 004 7.210500 1.802550 1.802750
1355274841 1.802650 001 1.802650 1.802650 1.802650
1355274862 1.802550 002 3.605200 1.802550 1.802650
1355274862 1.802450 003 5.407650 1.802450 1.802650
1355274907 1.802550 003 5.407550 1.802450 1.802550
1355274938 1.802450 002 3.605000 1.802450 1.802550
1355275118 1.802550 001 1.802550 1.802550 1.802550
1355275285 1.802450 001 1.802450 1.802450 1.802450
1355275429 1.802650 001 1.802650 1.802650 1.802650
1355275556 1.802450 001 1.802450 1.802450 1.802450
1355275603 1.803050 002 3.605500 1.802450 1.803050
1355275612 1.802950 003 5.408450 1.802450 1.803050
1355275616 1.802750 003 5.408750 1.802750 1.803050
1355275617 1.802850 004 7.211600 1.802750 1.803050
1355275666 1.802750 004 7.211300 1.802750 1.802950
1355275684 1.802850 002 3.605600 1.802750 1.802850
1355275771 1.803050 001 1.803050 1.803050 1.803050
1355275796 1.803150 002 3.606200 1.803050 1.803150
1355275826 1.803050 003 5.409250 1.803050 1.803150
1355275866 1.803150 002 3.606200 1.803050 1.803150
1355275897 1.803250 002 3.606400 1.803150 1.803250
1355275897 1.803150 003 5.409550 1.803150 1.803250
1355275950 1.803050 003 5.409450 1.803050 1.803250
1355276158 1.803150 001 1.803150 1.803150 1.803150
1355276189 1.803050 002 3.606200 1.803050 1.803150
1355276280 1.803150 001 1.803150 1.803150 1.803150
1355276344 1.803050 001 1.803050 1.803050 1.803050
1355276502 1.802850 001 1.802850 1.802850 1.802850
1355276582 1.802950 001 1.802950 1.802950 1.802950
1355276627 1.803050 002 3.606000 1.802950 1.803050
1355276653 1.803150 002 3.606200 1.803050 1.803150
1355276706 1.803250 002 3.606400 1.803150 1.803250
1355276868 1.803150 001 1.803150 1.803150 1.803150
1355277078 1.802950 001 1.802950 1.802950 1.802950
1355277078 1.803050 002 3.606000 1.802950 1.803050
1355277098 1.802950 003 5.408950 1.802950 1.803050
1355277132 1.803050 004 7.212000 1.802950 1.803050
1355277226 1.802850 001 1.802850 1.802850 1.802850
1355277245 1.802950 002 3.605800 1.802850 1.802950
1355277308 1.802750 001 1.802750 1.802750 1.802750
1355277331 1.802950 002 3.605700 1.802750 1.802950
1355277428 1.803050 001 1.803050 1.803050 1.803050
1355277516 1.803150 001 1.803150 1.803150 1.803150
1355277516 1.803250 002 3.606400 1.803150 1.803250
1355277561 1.803150 003 5.409550 1.803150 1.803250
1355277621 1.803250 001 1.803250 1.803250 1.803250
1355277622 1.803150 002 3.606400 1.803150 1.803250
1355277661 1.803250 003 5.409650 1.803150 1.803250
1355277675 1.803350 004 7.213000 1.803150 1.803350
1355278113 1.803450 001 1.803450 1.803450 1.803450
1355278337 1.803250 001 1.803250 1.803250 1.803250
1355279219 1.803150 001 1.803150 1.803150 1.803150
1355279399 1.803350 001 1.803350 1.803350 1.803350
1355279418 1.803250 002 3.606600 1.803250 1.803350
1355279418 1.803350 003 5.409950 1.803250 1.803350
1355279541 1.803450 001 1.803450 1.803450 1.803450
1355279642 1.803650 001 1.803650 1.803650 1.803650
1355279720 1.803450 001 1.803450 1.803450 1.803450
1355279727 1.803350 002 3.606800 1.803350 1.803450
1355279743 1.803450 003 5.410250 1.803350 1.803450
1355279776 1.803550 004 7.213800 1.803350 1.803550
1355279797 1.803450 003 5.410450 1.803450 1.803550
1355279885 1.803350 001 1.803350 1.803350 1.803350
1355279920 1.803550 002 3.606900 1.803350 1.803550
1355279924 1.803450 003 5.410350 1.803350 1.803550
1355279927 1.803550 004 7.213900 1.803350 1.803550
1355280006 1.803450 001 1.803450 1.803450 1.803450
1355280006 1.803550 002 3.607000 1.803450 1.803550
1355280018 1.803450 003 5.410450 1.803450 1.803550
1355280025 1.803350 004 7.213800 1.803350 1.803550
1355280034 1.803250 005 9.017050 1.803250 1.803550
1355280038 1.803350 006 10.820400 1.803250 1.803550
1355280429 1.803250 001 1.803250 1.803250 1.803250
1355280506 1.803350 001 1.803350 1.803350 1.803350
1355280528 1.803250 002 3.606600 1.803250 1.803350
1355280700 1.803350 001 1.803350 1.803350 1.803350
1355280833 1.803250 001 1.803250 1.803250 1.803250
1355280927 1.803150 001 1.803150 1.803150 1.803150
1355281177 1.803250 001 1.803250 1.803250 1.803250
1355281314 1.803350 001 1.803350 1.803350 1.803350
1355281604 1.803250 001 1.803250 1.803250 1.803250
1355281604 1.803450 002 3.606700 1.803250 1.803450
1355281605 1.803350 003 5.410050 1.803250 1.803450
1355281616 1.803250 004 7.213300 1.803250 1.803450
1355281750 1.803350 001 1.803350 1.803350 1.803350
1355281770 1.803450 002 3.606800 1.803350 1.803450
1355281795 1.803350 003 5.410150 1.803350 1.803450
1355281922 1.803050 001 1.803050 1.803050 1.803050
1355281934 1.803150 002 3.606200 1.803050 1.803150
1355282357 1.803050 001 1.803050 1.803050 1.803050
1355282658 1.803150 001 1.803150 1.803150 1.803150
1355282734 1.803050 001 1.803050 1.803050 1.803050
1355282810 1.803150 001 1.803150 1.803150 1.803150
1355282979 1.803250 001 1.803250 1.803250 1.803250
1355283066 1.803550 001 1.803550 1.803550 1.803550
1355283066 1.803350 002 3.606900 1.803350 1.803550
1355283156 1.803250 001 1.803250 1.803250 1.803250
